Feature_ID,Clean_Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Northern_Latitude,Southern_Latitude,Eastern_Longitude,Western_Longitude,Continent,Ethnicity,Feature_Type,Feature_Type_Code,Quad,Approval_Status,Approval_Date,Reference,Origin,number_of_papers_1970,number_of_citing_papers_1970,number_of_self_citations_1970,total_number_of_citations_1970,total_number_of_refereed_citations_1970,number_of_papers_1971_1980,number_of_citing_papers_1971_1980,number_of_self_citations_1971_1980,total_number_of_citations_1971_1980,total_number_of_refereed_citations_1971_1980,number_of_papers_1981_1990,number_of_citing papers_1981_1990,number_of_self_citations_1981_1990,total_number_of_citations_1981_1990,total_number_of_refereed_citations_1981_1990,number_of_papers_1991_2000,number_of_citing_papers_1991_2000,number_of_self_citations_1991_2000,total_number_of_citations_1991_2000,total_number_of_refereed_citations_1991_2000,number_of_papers_2001_2010,number_of_citing papers_2001_2010,number_of_self_citations_2001_2010,total_number_of_citations_2001_2010,total_number_of_refereed_citations_2001_2010,number_of_papers_2011_2015,number_of_citing papers_2011_2015,number_of_self_citations_2011_2015,total_number_of_citations_2011_2015,total_number_of_refereed_citations_2011_2015,number_of_papers_2016_2017,number_of_citing papers_2016_2017,number_of_self_citations_2016_2017,total_number_of_citations_2016_2017,total_number_of_refereed_citations_2016_2017,number_of_papers,number_of_citing papers,number_of_self-citations,total_number_of_citations,total_number_of_refereed citations,landing_site
4428,Okotoks,Mars,21.78,-21.21,84.41,-21.02,-21.39,84.61,84.22,North America,Canada,"Crater, craters",AA,mc21,Approved,2006,74.0,"Town in Alberta, Canada.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,49,40,0,0,0,0,0,1,49,0,49,40,0
4436,Olenek,Mars,3.06,19.87,-54.22,19.9,19.85,-54.19,-54.24,Europe,Russia,"Crater, craters",AA,mc10,Approved,1988,36.0,Town in Russia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4444,Olom,Mars,5.89,22.96,-57.66,23.01,22.92,-57.61,-57.71,Europe,Russia,"Crater, craters",AA,mc10,Approved,1988,36.0,Town in Russia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
4446,Oltis Valles,Mars,169.3,-23.5,-21.65,-22.07,-24.93,-20.99,-22.45,Europe,France,"Vallis, valles",VA,mc19,Approved,1976,56.0,"Ancient name for modern Lot river, France.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,0,68,48,0,0,0,0,0,0,0,0,0,0,1,68,0,68,48,0
4450,Olympia,Mars,0.0,79.88,160.0,79.88,79.88,160.0,160.0,Europe,Greek,Albedo Feature,AL,mc01,Approved,1958,60.0,Ancient and modern Greek city.,1,0,0,0,0,0,0,0,0,0,6,439,0,503,445,0,0,0,0,0,46,1074,39,1371,1177,21,188,4,204,160,8,15,0,15,13,86,1612,92,2141,1829,0
14157,Olympia Cavi,Mars,342.78,85.06,-177.77,85.88,80.85,-112.44,118.41,Europe,Greek,"Cavus, cavi",CB,mc01,Approved,2006,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,3,431,0,495,438,0,0,0,0,0,22,613,16,752,637,9,94,0,96,74,0,0,0,0,0,39,1077,39,1355,1160,0
14158,Olympia Mensae,Mars,335.42,78.0,119.98,79.62,76.1,134.65,110.06,Europe,Greek,"Mensa, mensae",MN,mc01,Approved,2006,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,2,431,0,495,438,1,45,0,45,32,4,205,1,209,178,3,8,0,8,8,0,0,0,0,0,13,642,8,762,659,0
6881,Olympia Planitia,Mars,1100.0,81.4,-180.0,84.94,78.87,-120.0,100.0,Europe,Greek,"Planitia, planitiae",PL,mc01,Dropped,1985,57.0,"Classical albedo feature name. Name dropped because the region is high relative to the surrounding area, and planitia is therefore not a correct descriptor term.",0,0,0,0,0,0,0,0,0,0,2,431,0,495,438,0,0,0,0,0,29,777,14,911,785,8,118,1,121,99,4,11,0,11,10,45,1271,31,1583,1364,0
14281,Olympia Planum,Mars,804.39,82.18,-171.19,84.84,79.08,-119.39,136.72,Europe,Greek,"Planum, plana",PM,mc01,Approved,"Mar 20, 2007",71.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,2,431,0,495,438,0,0,0,0,0,30,879,24,1079,920,15,116,2,122,90,6,7,0,7,5,54,1338,58,1703,1453,0
14299,Olympia Rupes,Mars,1197.04,86.04,174.16,86.2,82.0,-115.59,115.57,Europe,Greek,"Rupes, rupēs",RU,mc01,Approved,"Jul 25, 2007",57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,2,431,0,495,438,0,0,0,0,0,8,409,6,443,382,3,39,0,39,32,1,0,0,0,0,14,827,12,977,852,0
4451,Olympia Undae,Mars,1507.96,81.16,178.48,83.21,77.2,-113.2,113.55,Europe,Greek,"Unda, undae",UN,mc01,Approved,2003,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,428,13,513,444,14,123,0,129,99,6,6,0,6,4,38,529,37,648,547,0
4452,Olympica Fossae,Mars,420.0,24.85,-113.92,26.94,22.94,-110.74,-117.14,Europe,Latin,"Fossa, fossae",FO,mc09,Approved,1985,57.0,"From albedo feature at 17N, 134W.",0,0,0,0,0,1,146,0,146,131,2,59,0,59,47,3,1,0,1,1,3,70,0,75,68,1,7,0,7,7,0,0,0,0,0,10,277,3,288,254,0
4453,Olympus Mons,Mars,610.13,18.65,-133.8,23.68,13.48,-127.8,-139.24,Europe,Greek,"Mons, montes",MO,mc09,Approved,1973,57.0,Classical albedo feature name.,0,0,0,0,0,82,1355,88,2002,1685,254,3405,340,6427,5331,142,2703,57,3605,2997,201,3892,376,7881,6958,98,849,61,1136,982,42,87,7,106,92,821,8503,2648,21158,18046,1
15695,Olympus Paterae,Mars,85.0,18.32,-133.19,18.92,17.72,-132.54,-133.87,Europe,Greek,"Patera, paterae",PE,mc09,Approved,"Oct 16, 2017",57.0,Classical albedo feature name.,0,0,0,0,0,27,589,10,734,575,0,0,0,0,0,65,1286,15,1570,1281,66,2320,105,3696,3189,20,266,8,291,241,0,0,0,0,0,284,4734,695,9329,7753,1
4454,Olympus Rupes,Mars,1914.77,18.4,-133.56,23.28,13.76,-129.09,-139.11,Europe,Greek,"Rupes, rupēs",RU,mc09,Approved,1976,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,14,511,3,617,538,0,0,0,0,0,14,640,14,776,682,2,16,0,16,11,3,3,0,3,3,41,1103,36,1431,1250,1
4458,Ome,Mars,2.85,20.6,104.02,20.62,20.58,104.05,104.0,Asia,Japan,"Crater, craters",AA,mc14,Approved,1988,36.0,Town in Japan.,0,0,0,0,0,3,64,0,64,61,2,70,0,70,57,1,0,0,0,0,3,29,0,29,25,0,0,0,0,0,0,0,0,0,0,9,163,0,163,143,0
6939,Omura,Mars,8.47,-25.36,-25.21,-25.29,-25.43,-25.14,-25.29,Asia,Japan,"Crater, craters",AA,mc19,Approved,1976,36.0,Town in Japan.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,30,26,1,6,0,6,6,0,0,0,0,0,2,36,0,36,32,0
4469,Onon,Mars,3.42,16.13,102.48,16.16,16.11,102.51,102.45,Asia,Mongolia,"Crater, craters",AA,mc14,Approved,1988,36.0,Town in Mongolia.,0,0,0,0,0,0,0,0,0,0,1,9,0,9,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,9,0,9,9,0
4470,Oodnadatta,Mars,25.44,-52.43,-34.17,-52.21,-52.64,-33.81,-34.52,Oceania,Australia,"Crater, craters",AA,mc26,Approved,1991,36.0,Town in Australia.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4473,Ophir,Mars,0.0,-9.88,-65.0,-9.88,-9.88,-65.0,-65.0,Europe,Greek,Albedo Feature,AL,mc18,Approved,1958,60.0,Biblical land to which King Solomon sent naval expedition; probably India.,4,16,0,16,14,10,132,0,135,123,41,460,11,671,544,0,0,0,0,0,41,888,60,1342,1128,27,289,33,395,341,0,0,0,0,0,177,1772,459,3197,2670,1
4474,Ophir Catenae,Mars,509.0,-9.46,-59.4,-8.05,-9.9,-55.43,-64.02,Europe,Greek,"Catena, catenae",CA,mc18,Approved,2006,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,54,0,54,45,5,28,2,29,25,2,6,0,6,3,10,81,7,89,73,0
4475,Ophir Cavus,Mars,36.72,-9.89,-55.04,-9.78,-9.98,-54.73,-55.36,Europe,Greek,"Cavus, cavi",CB,mc18,Approved,2006,57.0,Classical albedo feature name.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,9,7,119,5,134,111,1,0,0,0,0,9,129,5,144,120,0
4476,Ophir Chasma,Mars,314.71,-4.0,-72.35,-2.86,-5.28,-69.72,-74.98,Europe,Greek,"Chasma, chasmata",CM,mc18,Approved,1973,57.0,Classical albedo feature name.,0,0,0,0,0,5,71,0,73,67,32,456,11,664,539,0,0,0,0,0,37,835,60,1277,1076,26,283,32,384,332,13,35,0,38,34,143,1548,445,2893,2411,0
4477,Ophir Labes,Mars,92.53,-11.01,-68.28,-10.47,-11.77,-67.64,-69.18,Europe,Greek,"Labes, labēs",LA,mc18,Approved,1985,57.0,"From albedo feature at 10S, 65W.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,26,22,1,4,0,4,4,5,67,5,78,69,0
15173,Ophir Mensa,Mars,103.33,-3.99,-73.49,-3.5,-4.56,-72.64,-74.39,Europe,Greek,"Mensa, mensae",MN,mc18,Approved,"Nov 20, 2013",57.0,Classical albedo feature name.,0,0,0,0,0,2,25,0,25,24,4,194,1,242,181,4,106,0,107,87,12,211,8,334,285,11,124,4,136,116,8,19,0,20,17,41,541,86,864,710,0
4478,Ophir Planum,Mars,642.24,-8.45,-57.82,-3.08,-13.8,-53.01,-62.97,Europe,Greek,"Planum, plana",PM,mc18,Approved,1973,57.0,Classical albedo feature name.,0,0,0,0,0,3,27,0,28,26,19,282,1,341,285,18,408,7,512,414,28,691,35,1005,852,25,286,30,391,337,12,23,0,25,22,105,1368,296,2302,1936,0
4483,Oraibi,Mars,32.37,17.22,-32.34,17.49,16.94,-32.06,-32.63,North America,United States,"Crater, craters",AA,mc11,Approved,1976,36.0,"Town in Arizona, USA.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4484,Orcus Patera,Mars,387.64,14.13,178.35,17.29,10.98,179.98,177.12,Europe,Latin,"Patera, paterae",PE,mc15,Approved,1973,57.0,Classical albedo feature name.,0,0,0,0,0,3,31,0,31,31,16,545,3,654,568,0,0,0,0,0,4,12,0,12,11,2,102,0,102,90,0,0,0,0,0,30,692,5,828,725,1
4486,Ore,Mars,7.15,16.78,-33.93,16.84,16.72,-33.87,-33.99,Africa,Nigeria,"Crater, craters",AA,mc11,Approved,1976,36.0,Town in Nigeria.,3,3,0,3,2,18,1067,10,1282,1125,35,681,4,740,635,27,640,3,710,589,48,1318,37,1665,1466,30,244,4,287,257,10,29,0,31,31,171,3380,144,4718,4105,1
4491,Orinda,Mars,9.03,45.37,126.98,45.45,45.29,127.09,126.88,North America,United States,"Crater, craters",AA,mc07,Approved,1979,36.0,"Town in California, USA.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,36,35,1,18,0,18,16,0,0,0,0,0,2,47,1,54,51,0
4499,Orson Welles,Mars,115.99,-0.19,-45.9,0.79,-1.17,-44.92,-46.87,North America,American,"Crater, craters",AA,mc18,Approved,2003,139.0,George Orson; American radio and motion picture actor and director (1915-1985).,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,15,14,0,0,0,0,0,2,2,0,2,0,3,17,1,17,14,0
